NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB130906222                  ,194.11,4.2,56541.221881228,11.264,7.209,6.2735e-07,3.005e-08,3.584,0.724,"bn130906222
"
GRB150527283                  ,288.96,4.2013,57169.282739626,20.736,5.146,2.6008e-06,4.8549e-08,4.096,0.572,"bn150527283
"
GRB220915022                  ,135.68,4.28,59837.02199492,43.777,0.572,4.8922e-06,2.9282e-08,6.144,0.572,"bn220915022
"
GRB140516700                  ,115.16,4.29,56793.699753034,38.144,1.145,2.6435e-06,2.9057e-08,19.712,0.923,"bn140516700
"
GRB211217295                  ,8.88,4.45,59565.294795455,4.096,1.619,1.2778e-06,4.5026e-08,1.536,0.362,"bn211217295
"
GRB120603439                  ,198.794,4.326,56081.439002938,0.384,0.345,6.7886e-07,2.69e-08,0.256,0.091,"bn120603439
"
GRB140824548                  ,55.63,4.35,56893.547756641,4.096,0.572,2.6866e-06,3.9092e-08,1.536,0.362,"bn140824548
"
GRB090904581                  ,261.65,4.56,55078.58144821,38.401,3.093,1.6367e-06,2.8261e-08,20.992,1.379,"bn090904581
"
GRB080730520                  ,245.4,4.6,54677.520317167,17.408,6.229,4.8707e-06,9.8931e-08,4.096,1.448,"bn080730520
"
GRB111124308                  ,94.06,4.63,55889.308450068,8.96,3.114,6.2632e-07,2.1928e-08,3.072,0.923,"bn111124308
"
GRB200714437                  ,208.56,4.72,59044.436637255,152.576,1.619,6.9707e-06,6.2464e-08,36.864,2.673,"bn200714437
"
GRB081012045                  ,69.7,4.5,54751.045402581,1.216,1.748,2.2896e-07,4.3578e-08,0.512,0.362,"bn081012045
"
GRB220903125                  ,147.05,4.94,59825.125449084,6.4,1.619,1.2175e-06,1.3421e-08,1.28,0.724,"bn220903125
"
GRB210207603                  ,137.97,4.73,59252.602766017,11.008,0.923,1.8115e-06,3.2719e-08,3.84,0.572,"bn210207603
"
GRB150510139                  ,16.16,4.79,57152.138816416,51.904,0.453,9.8625e-05,8.6913e-08,21.632,0.202,"bn150510139
"
GRB190605974                  ,337.24,4.79,58639.973924975,3.584,0.516,9.6376e-07,3.1527e-08,1.536,0.345,"bn190605974
"
GRB091220442                  ,166.77,4.81,55185.442252733,18.368,0.59,5.8327e-06,4.5043e-08,5.696,0.345,"bn091220442
"
GRB131230808                  ,73.05,4.84,56656.808447972,49.152,4.352,4.1066e-06,4.2846e-08,14.848,1.086,"bn131230808
"
GRB120415891                  ,190.69,4.91,56032.891447063,0.96,0.264,1.3047e-07,9.0268e-09,0.32,0.181,"bn120415891
"
GRB110729142                  ,353.39,4.97,55771.142429735,408.582,2.29,4.6399e-05,4.7781e-08,354.31,2.29,"bn110729142
"
GRB230725439                  ,207.23,4.92,60150.439477765,0.576,1.541,3.0866e-07,2.4139e-08,0.256,0.091,"bn230725439
"
GRB130626596                  ,24.89,4.93,56469.59551495,28.16,0.572,4.8195e-06,3.2728e-08,10.752,0.572,"bn130626596
"
GRB110722694                  ,215.06,5.0,55764.693943006,73.473,11.404,2.114e-05,1.1547e-07,22.336,1.484,"bn110722694
"
GRB251005227                  ,227.84,5.07,60953.227178839,16.128,5.938,8.492e-07,2.4675e-08,6.4,1.145,"bn251005227
"
GRB240612503                  ,316.39,5.43,60473.503113199,123.394,1.377,6.0215e-06,4.9922e-08,109.57,0.572,"bn240612503
"
GRB180506077                  ,249.38,5.08,58244.076684716,44.033,3.593,8.3008e-06,5.0203e-08,15.872,0.923,"bn180506077
"
GRB241029097                  ,325.327,5.086,60612.097220669,13.312,0.362,9.5267e-06,2.3765e-08,7.424,0.362,"bn241029097
"
GRB090411991                  ,38.5,5.1,54932.991491613,14.336,1.086,6.2129e-06,8.846e-08,6.912,0.724,"bn090411991
"
GRB120111051                  ,95.34,5.0,55937.051014209,76.801,5.514,3.9676e-06,5.6254e-08,25.6,4.58,"bn120111051
"
GRB140406120                  ,357.55,5.63,56753.119603677,109.312,3.415,1.1454e-05,1.0886e-07,59.136,4.81,"bn140406120
"
